skos:notation,skos:prefLabel,nypl:holdingLocations,URL
bur,Yoseloff Business Center,bur51,https://www.nypl.org/locations/snfl/yoseloff-business 
mab,Art & Architecture Collection,mab01;mab0v;mab82;mab88;mab89;mab92;mab98;mab99;mabb1;mabb2;mabb3;mabm2;rcmb2;rcmb8;rcmb9,https://www.nypl.org/locations/schwarzman/wallach-division/art-architecture-collection
mac,Arents Collection,mac82;macc2,https://www.nypl.org/locations/schwarzman/rare-books-division/arents-collection
mae,Berg Collection,mae82;mae92;maee2,https://www.nypl.org/locations/schwarzman/berg-collection-english-and-american-literature
maf,Dorot Jewish Division,maf32;maf82;maf88;maf92;maf98;maf99;maff1;maff3;rcmf2;rcmf8;rcmf9,https://www.nypl.org/locations/schwarzman/jewish-division
mag,Milstein Division,mag82;mag92;mag98;magg1;magg2;rcmg2;rcmg8;rcmg9;magg3,https://www.nypl.org/locations/schwarzman/milstein
mak,DeWitt Wallace Periodical Room,mak32;mak82;makk3,https://www.nypl.org/locations/schwarzman/general-research-division/periodicals-room
mal,General Research Division,mai32;mai82;mai92;mal17;mal23;mal42;mal72;mal82;mal92;mala;mala1;malc;mall1;malm2;maln;maln1;malv2;malw;malw1;rc2ma;rc2mj;rcma2;rcmi2;rcmj2;rcml2;rcml8,https://www.nypl.org/locations/schwarzman/general-research-division
mao,Manuscripts and Archives Division,mao82;mao92;maor2;rcmo2,https://www.nypl.org/locations/schwarzman/manuscripts-division
map,Lionel Pincus and Princess Firyal Map Division,map08;map32;map42;map82;map92;map98;map99;mapp1;mapp2;mapp3;mapp8;mapp9;rcmp2;rcmp8;rcmp9,https://www.nypl.org/locations/schwarzman/map-division
maq,Pforzheimer Collection,maqq2;rcmq2,https://www.nypl.org/locations/schwarzman/pforzheimer-collection-shelley-and-his-circle
mar,Rare Book Division,mar82;mar92;mard2;marr2;rcmr2,https://www.nypl.org/locations/schwarzman/rare-books-division
mas,Photography Collection,mas82;mas92;masb2;mass2;masu2;rcms2,https://www.nypl.org/locations/schwarzman/wallach-division/photography-collection
mau,Print Collection,mauu1;mauu2,https://www.nypl.org/locations/schwarzman/wallach-division/print-collection
pad,Dance Division,pad11;pad22;pad28;pad32;pad38;pad42;rcpd2;rcpd8;rcpd9,https://www.nypl.org/locations/lpa/jerome-robbins-dance-division
paf,Theatre on Film and Tape Archive,paf28;paf29;rcpf2;rcpf8;rcpf9,https://www.nypl.org/locations/lpa/theatre-film-and-tape-archive
pah,Archives of Recorded Sound,pah11;pah22;pah32;pah38;pah42;rcph2;rcph8;rcph9,https://www.nypl.org/locations/lpa/rodgers-and-hammerstein-archives-recorded-sound
pam,Music Division,pam11;pam22;pam32;pam38;pam42;pam48;rcpm2;rcpm8;rcpm9,https://www.nypl.org/locations/lpa/music-division
pat,Theatre Division,pat11;pat22;pat28;pat32;pat38;pat42;pat48;rcpt2;rcpt8;rcpt9,https://www.nypl.org/locations/lpa/billy-rose-theatre-division
pav,Reserve Film and Video,pav22;pav28;pav32;pav38;rcpr2;rcpr8;rcpr9,https://www.nypl.org/about/locations/lpa/circulating-collections/reserve-film
scb,Moving Image and Recorded Sound Division,scbb2;rccb2;rccb8;rccb9,https://www.nypl.org/locations/schomburg/moving-image-and-recorded-sound-division
scc,Art and Artifacts Division,sccc2;sccc3;rcca9,https://www.nypl.org/locations/schomburg/art-and-artifacts-division
scd,"Manuscripts, Archives and Rare Books Division",scdd1;scdd2;rccd2;rccd8;rccd9,https://www.nypl.org/locations/schomburg/manuscripts-archives-and-rare-books-division
sce,Photographs and Prints Division,scedd;scee2;rcce2;rcce8;rcce9,https://www.nypl.org/locations/schomburg/photographs-and-prints-division
scf,Jean Blackwell Hutson Research and Reference Division,scff1;scff2;scff3;rc2cf;rc2cm;rccf2;rccf8;rccf9,https://www.nypl.org/locations/schomburg/jbh-research-and-reference-division
