skos:notation,skos:prefLabel,skos:altLabel,nypl:collectionType,nypl:deliveryLocationType,nypl:actualLocation,dcterms:isPartOf,nypl:owner,nypl:requestable,nypl:deliverableTo,nypl:recapCustomerCode,nypl:allowSierraHold,nypl:locationsSlug,nypl:deliverableToResolution
ag,Aguilar,Aguilar,Branch,,,ag,,false,,,true,,
aga,Aguilar Adult,Aguilar Adult,Branch,,,ag,,false,,,true,,
aga01,Aguilar Reference,Aguilar Reference,Branch,,,ag,,false,,,true,,
aga03,Aguilar Closed Shelf Reference,Aguilar Closed Shelf Reference,Branch,,,ag,,false,,,true,,
aga0f,Aguilar Fiction,Aguilar Fiction,Branch,,,ag,,false,,,true,,
aga0l,Aguilar World Languages,Aguilar World Languages,Branch,,,ag,,false,,,true,,
aga0n,Aguilar Non-Fiction,Aguilar Non-Fiction,Branch,,,ag,,false,,,true,,
aga0v,Aguilar Non-Print Media,Aguilar Non-Print Media,Branch,,,ag,,false,,,true,,
aga0w,Aguilar Center for Reading & Writing,Aguilar Center for Reading & Writing,Branch,,,ag,,false,,,true,,
agar,Aguilar Adult Reference,Aguilar Adult Reference,Branch,,,ag,,false,,,true,,
agj,Aguilar Children,Aguilar Children,Branch,,,ag,,false,,,true,,
agj01,Aguilar Children's Reference,Aguilar Children's Reference,Branch,,,ag,,false,,,true,,
agj0a,Aguilar Children's Easy Book,Aguilar Children's Easy Book,Branch,,,ag,,false,,,true,,
agj0f,Aguilar Children's Fiction,Aguilar Children's Fiction,Branch,,,ag,,false,,,true,,
agj0h,Aguilar Children's Holiday Book,Aguilar Children's Holiday Book,Branch,,,ag,,false,,,true,,
agj0i,Aguilar Children's Picture Book,Aguilar Children's Picture Book,Branch,,,ag,,false,,,true,,
agj0l,Aguilar Children's World Languages,Aguilar Children's World Languages,Branch,,,ag,,false,,,true,,
agj0n,Aguilar Children's Non-Fiction,Aguilar Children's Non-Fiction,Branch,,,ag,,false,,,true,,
agj0t,Aguilar Children's Fairy Tale,Aguilar Children's Fairy Tale,Branch,,,ag,,false,,,true,,
agj0v,Aguilar Children's Non-Print Media,Aguilar Children's Non-Print Media,Branch,,,ag,,false,,,true,,
agj0y,Aguilar Children's Young Reader,Aguilar Children's Young Reader,Branch,,,ag,,false,,,true,,
agjlf,Aguilar Children's Read-Along Book Fiction,Aguilar Children's Read-Along Book Fiction,Branch,,,ag,,false,,,true,,
agjln,Aguilar Children's Read-Along Book Non-Fiction,Aguilar Children's Read-Along Book Non-Fiction,Branch,,,ag,,false,,,true,,
agjr,Aguilar Children's Reference,Aguilar Children's Reference,Branch,,,ag,,false,,,true,,
agy,Aguilar Young Adult,Aguilar Young Adult,Branch,,,ag,,false,,,true,,
agy01,Aguilar YA Reference,Aguilar YA Reference,Branch,,,ag,,false,,,true,,
agy0f,Aguilar YA Fiction,Aguilar YA Fiction,Branch,,,ag,,false,,,true,,
agy0l,Aguilar YA World Languages,Aguilar YA World Languages,Branch,,,ag,,false,,,true,,
agy0n,Aguilar YA Non-Fiction,Aguilar YA Non-Fiction,Branch,,,ag,,false,,,true,,
agy0v,Aguilar YA Non-Print Media,Aguilar YA Non-Print Media,Branch,,,ag,,false,,,true,,
agyr,Aguilar Young Adult Reference,Aguilar Young Adult Reference,Branch,,,ag,,false,,,true,,
agzzz,Aguilar,Aguilar (error code),Branch,,,ag,,false,,,true,,
al,Allerton,Allerton,Branch,,,al,,false,,,true,,
ala,Allerton Adult,Allerton Adult,Branch,,,al,,false,,,true,,
ala01,Allerton Reference,Allerton Reference,Branch,,,al,,false,,,true,,
ala03,Allerton Closed Shelf Reference,Allerton Closed Shelf Reference,Branch,,,al,,false,,,true,,
ala0f,Allerton Fiction,Allerton Fiction,Branch,,,al,,false,,,true,,
ala0l,Allerton World Languages,Allerton World Languages,Branch,,,al,,false,,,true,,
ala0n,Allerton Non-Fiction,Allerton Non-Fiction,Branch,,,al,,false,,,true,,
ala0v,Allerton Non-Print Media,Allerton Non-Print Media,Branch,,,al,,false,,,true,,
alar,Allerton Adult Reference,Allerton Adult Reference,Branch,,,al,,false,,,true,,
alj,Allerton Children,Allerton Children,Branch,,,al,,false,,,true,,
alj01,Allerton Children's Reference,Allerton Children's Reference,Branch,,,al,,false,,,true,,
alj0a,Allerton Children's Easy Book,Allerton Children's Easy Book,Branch,,,al,,false,,,true,,
alj0f,Allerton Children's Fiction,Allerton Children's Fiction,Branch,,,al,,false,,,true,,
alj0h,Allerton Children's Holiday Book,Allerton Children's Holiday Book,Branch,,,al,,false,,,true,,
alj0i,Allerton Children's Picture Book,Allerton Children's Picture Book,Branch,,,al,,false,,,true,,
alj0l,Allerton Children's World Languages,Allerton Children's World Languages,Branch,,,al,,false,,,true,,
alj0n,Allerton Children's Non-Fiction,Allerton Children's Non-Fiction,Branch,,,al,,false,,,true,,
alj0t,Allerton Children's Fairy Tale,Allerton Children's Fairy Tale,Branch,,,al,,false,,,true,,
alj0v,Allerton Children's Non-Print Media,Allerton Children's Non-Print Media,Branch,,,al,,false,,,true,,
alj0y,Allerton Children's Young Reader,Allerton Children's Young Reader,Branch,,,al,,false,,,true,,
aljlf,Allerton Children's Read-Along Book Fiction,Allerton Children's Read-Along Book Fiction,Branch,,,al,,false,,,true,,
aljln,Allerton Children's Read-Along Book Non-Fiction,Allerton Children's Read-Along Book Non-Fiction,Branch,,,al,,false,,,true,,
aljr,Allerton Children's Reference,Allerton Children's Reference,Branch,,,al,,false,,,true,,
aly,Allerton Young Adult,Allerton Young Adult,Branch,,,al,,false,,,true,,
aly01,Allerton YA Reference,Allerton YA Reference,Branch,,,al,,false,,,true,,
aly0f,Allerton YA Fiction,Allerton YA Fiction,Branch,,,al,,false,,,true,,
aly0l,Allerton YA World Languages,Allerton YA World Languages,Branch,,,al,,false,,,true,,
aly0n,Allerton YA Non-Fiction,Allerton YA Non-Fiction,Branch,,,al,,false,,,true,,
aly0v,Allerton YA Non-Print Media,Allerton YA Non-Print Media,Branch,,,al,,false,,,true,,
alyr,Allerton Young Adult Reference,Allerton Young Adult Reference,Branch,,,al,,false,,,true,,
alzzz,Allerton,Allerton (error code),Branch,,,al,,false,,,true,,
b1,Bookmobile 1,Bookmobile 1,,,,b1,,false,,,true,,
b1a,Bookmobile 1 Adult,Bookmobile 1 Adult,,,,b1,,false,,,true,,
b1a01,Bookmobile 1 Reference,Bookmobile 1 Reference,,,,b1,,false,,,true,,
b1a03,Bookmobile 1 Closed Shelf Reference,Bookmobile 1 Closed Shelf Reference,,,,b1,,false,,,true,,
b1a0f,Bookmobile 1 Fiction,Bookmobile 1 Fiction,,,,b1,,false,,,true,,
b1a0l,Bookmobile 1 World Languages,Bookmobile 1 World Languages,,,,b1,,false,,,true,,
b1a0n,Bookmobile 1 Non-Fiction,Bookmobile 1 Non-Fiction,,,,b1,,false,,,true,,
b1a0v,Bookmobile 1 Non-Print Media,Bookmobile 1 Non-Print Media,,,,b1,,false,,,true,,
b1ar,Bookmobile 1 Adult Reference,Bookmobile 1 Adult Reference,,,,b1,,false,,,true,,
b1j,Bookmobile 1 Children,Bookmobile 1 Children,,,,b1,,false,,,true,,
b1j01,Bookmobile 1 Children's Reference,Bookmobile 1 Children's Reference,,,,b1,,false,,,true,,
b1j0a,Bookmobile 1 Children's Early Reader,Bookmobile 1 Children's Early Reader,,,,b1,,false,,,true,,
